,label,sentence
1036,1,"Gulliver's Travels is, at the beginning, a satiric novel written by a great misanthropist called Jonathan Swift. So it is not recommended to judge of this movie, just by itself. We must go deeper into Man's conscience to get to the point where Swift would have lead us. Gulliver has lived a voyage of truthfulness, of solitude, of apprehension of what may be his true life. We cannot just sit and watch that movie, saying it is so cutie or so boring. The matter is far beyond that and I would like everyone to expect that. This is the greatest movie ever, as far as you can feel the truths that emerge from Ted Danson's character: the unforgettable Lemuel Gulliver."
1072,1,"This was on Showtime the other night, and I figured it was going to be another made-for-video crap fest, like ""Earth vs. the Spider"" or any of those other HBO horror shorts. Instead, I found a comedy/gore classic. It was legitimately funny, and surprisingly, the acting was quite good. Even my wife, an overall horror-hater, agreed and was laughing at parts. In addition, the FX were high-quality.  Overall, the film felt like a parody of Joy Ride/Jeepers Creepers, and the 2 main characters reminded me of the pair from Shaun of the Dead. Definitely worth watching, but don't take it seriously.  The End."
1088,0,"Much like Tinto Brass (""Caligula""), the people who made this movie can't tell the difference between explicitness and eroticism. No build-up at all, just throw naked women on the screen; no, it doesn't work that way. If close-ups of female genitalia aren't your thing, prepare to be looking away from the screen at many points (I often did). The ""all women are whores at heart"" mentality of the movie is offensive, and the ""story"" is by turns absurd and boring (the escape is the most boring part!). But halfway through there is a random scene that pops out of nowhere and involves one of the (female) prisoners and one of the (male) guards in a nude wrestling match, which she wins with a couple of judo moves. Although the choreography of the fight is bad, the whole scene is undeniably memorable. In fact, that scene and the nice cinematography are the only two reasons I give this film * out of 4, instead of 0."
1165,1,"This was really a ""nightmare"" of a film; i saw it about nine years ago on cable TV and haven't forgotten it since. Pixote is a 10-year old boy who lives in the streets of Sao Paulo (Brazil) and leads a criminal life in the company of his teenage friends Lilica, Dito and Chico; they steal, pimp, sell drugs and murder in order to survive each day...In the first half of the film Pixote is caught by the police and sent to a sadistic foster home where he witnesses every kind of abuse from the older inmates and guards to the rest of the kids; one night, Lilica's boyfriend is killed after a beating, so Pixote and his friends decide to escape during a riot. The rest of the film shows Pixote's descent into a criminal life; he doesn't show any feelings or remorse after killing someone, maybe because he knows that good feelings are of no use in the world in which he lives...But there is, however, a gentle scene in the middle of the film; Pixote and his friends are at the beach, missing (and wishing) one of his friends from the reformatory was there. I thought it was a poetic and melancholy scene in the middle of all these horrible events...the boys are obviously longing not only for their friend, but for a better life. Director Hector Babenco's ""Pixote"" is a brave and depressing film that doesn't shy away from showing the harshest reality many people -including myself- tend to ignore or misunderstand. This film will probably open your eyes and make you a better and compassionate person."
1175,1,"Greta Garbo stars in 'Anna Christie', a very early 1930 MGM 'talkie', the first time 'Garbo Talks'. 'Anna Christie' is a powerful movie but not for everyone. The movie is filmed like a stage play, short on sets and cinematography, long on dialogue and dramatic characterizations. Eugene O'Neil who wrote the play 'Anna Christie' is known for his dark work and Garbo's character Anna Christie is a bleak figure with a tortured past.  The sound quality on the DVD was mediocre. Not helping matters is that George F. Marion who plays Anna's estranged dad, Chris Christofferson, is verbally hard to understand. Marion gives a good performance as the old drunken seamen who’s teetering on insanity with his fixation of the evil 'devil sea'. But his dialogue is written with a very heavy Swedish accent, this is true to O'Neils original play. Marie Dressler's dialogue as Marthy Owens is equally hard to understand. Dressler believably portrays a broken down old drunken women, a 'wharf rat'. Her dialogue also is true to O'Neils original play as is Charles Bickford as the Irish seamen, Matt Burke who pursues Anna in a troubled relationship. Garbo is actually the easiest to understand.  The films strong point is Greta Garbo. She delivers a gut wrenching performance as the victim of neglect and abuse, leading to a life of prostitution. Garbo was a huge star at the time and considered one of the most beautiful women in Hollywood. Here her look isn't glamorous, it's tortured. Her body posture nearly doubles over in agony. She scrunches her face to become a pathetic creature on the screen. Garbo conveys these angst-ridden feelings to the viewer to convince us of her misery.  This is dark subject matter and Garbo brings it to life. It’s not light fare, not fun, not for everyone. ‘Anna Christie’ is strong emotions dredged up from the depths for examination, this is one helluva ride."
1222,1,"I was expecting this movie to suck, but what I got was a pretty good slasher/gore film. Most of the death scenes are adequately brutal. The teens are decent, with Penny McNamee definitely the best of the bunch. Rachael Taylor looks like a young Christie Brinkley, but doesn't bring much to the movie other than that. Kane was good as the killer, and is totally believable as a fearsome juggernaut. I saw the ""twist"" coming from miles away, but I still enjoyed the movie.  But what really stood out to me was the direction. Gregory Dark might actually have a career in legit film ahead of him. Aside from overusing the horror film ""speed cam""(you know, where like the guy's face shakes all fast?), there's some good shots here. The camera angles and environments really emphasize Kane's size, making him look even bigger than he actually is.  If you're looking for deep story or characters, this ain't it. But that's not what slasher films are about. If you're looking for some good violence, or if you're into gory films, go check this out!"
1224,1,"Another ""end of the world"" film that begs comparison to the abysmal ""Day After Tomorrow"". Following the same sort of structure as DAT but with a distinctly Japanese style. How does it fare? That depends on your taste for Japanese melodrama.   I found that the small human touches to be what makes this film compelling for most of it's 2 + hours. Also the frequent title cards explaining some of the science. The effects are probably the best I've seen in a Japanese film and they compare very well to anything out of Hollywood. Many of the disaster scenes are truly horrifying even though the human carnage is usually off screen. And that is one of the drawbacks. While the terror of thousands of on- screen deaths like in the recent ""War of the Worlds might have too overwhelming, we also don't really get a sense of the chaos of an entire nation crumbling into the ocean. A few scenes touch on the chaos but for the most part this part of the story is barely touched on. Regardless, this film works on a lot of levels and is way more realistic then DAT, that is until the end.  Unfortunately the story hinges itself on one clichéd plot device and another plot device that would be at home in the 1960's Japanese Earth in peril film ""Gorath"". After the reasonably good science and mostly realistic take on the disaster, this makes for a bit of disappointment. The sudden stopping of the film for a pop love song doesn't help either (unless you like the song). This made the ""exciting"" ending a bit of a drag for me.  The overall direction is good and the art design is excellent. Acting is all good as well. Recommended."
1227,1,"Sex, drugs, racism and of course you ABC's. What more could you want in a kid's show!  ------------------------------------------- -------------------------------------------  ""User Comment Guidelines   Please note there is a 1,000 word limit on comments. The recommended length is 200 to 500 words. The minimum length for comments is 10 lines of text. Comments which are too short or have been padded with junk text will be discarded. You may only post a single comment per title.   What to include: Your comments should focus on the title's content and context. The best reviews include not only whether you liked or disliked a movie or TV-series, but also why. Feel free to mention other titles you consider similar and how this one rates in comparison to them. Comments that are not specific to the title will not be posted on our site. Please write in English only and note that we do not support HTML mark-up within the comments"""
1254,0,"This is a new approach to comedy. It isn't funny.  The joke is that this, in and of itself, is supposed to be funny.  The story is based on a French short story, located in Paris, and the characters have French names. Louis Aubinard, for example ... played by ... Bob Hoskins? The movie also stars the equally French Jeff Goldblum and Natasha Richardson. The situations are similar to and the characters perform as if in those Carry-On movies from years back.  I believe these are also jokes - to cast these actors who make no attempt to act French in any way, to have them cavort in the manner of broad English dance hall comedy, and to leave the whole bloomin' mystery unexplained to the audience.  In the humour department, this is practically the Algonquin Round Table, isn't it?  The movie tries to be charming and quirky, and I guess these characteristics are sort of funny. Not as funny as Duck Soup or Love and Death, perhaps, but funnier than The Deer Hunter or The Battleship Potemkin.  It is an example of personal filmmaking. It makes no real effort to reach out and share with the audience, but stays true to its premise and its internal logic. Although all the situations are unbelievable, they are logical within the film's own bizarro world.  I generally like this kind of eccentric movie, but I found this one to be paced too slowly, to be dull-witted, tedious, and to provide too few pleasurable surprises or genuine wit. It just kind of meanders in predictable and sophomoric ways, and wastes some wonderful talents along the way. It has to be the low point in the career of each of the major stars, who are all otherwise distinguished players. I found it to be the biggest waste of talent since The Betsy, and I wish I had never seen Goldblum and Hoskins in this thing.  So, call it an interesting miss, and pass on it as a rental unless you really have a lot of time to kill.  "
1272,0,"A great cast, a fantastic CGI monster and a brilliant script. If this film had had any of those things then it might not have been amongst the worst films I've ever wasted an hour and a half on. Infinite chimpanzees with infinite typewriters have not yet written the complete works of Shakespeare but along the way this has appeared in their waste-paper bin and somehow it got made into a movie. You can tell the the actors regret signing those contracts with every word they mutter directly into camera. The CGI is amateurish in the extreme and they might have created more tension of the cast had been attacked with the Sinclair Spectrum it was created on. I wanted to like this film, it has nice cameo appearances by Gil Gerard and Walter Koenig so I expected a fun horror movie that didn't take itself too seriously. It actually does try to take itself seriously but is about as much fun as trip to the dentist. Do yourself a favour. Don't watch this movie, you'll only encourage them to make more."
1286,1,"""Death Wish 3"" brings back Charles Bronson as one time vigilante Paul Kersey,now retired.yeah,right.before long Kersey is back to his old ways.but this time,its not just a few muggers at a time,its a gang who have taken over a run down part of the city(New York again,by the way.)this time its war,so Kersy Hauls out the big guns(literally) for this.the body count int his one rivals anything Stallone or Schwarzenegger have come up with.this movie is actually somewhat fun to watch,particularly for a few one liners and of course bad guys die,or get severely injured in creative ways,which is always a good thing.the violence is not as personal in this one,its,obviously on a much grander scale,sort of like bombing your victims from afar,rather than one on one combat.this movie is lighter in tone than the 1st 2,making it easier to watch.there's not much import to this film,its more escapism than anything.its also cheesy at times and pseudo-inspirational,but hose scenes fall flat. they should have left the original ""Death Wish"" on its own without sequels,but since they didn't,they should have stopped here. 8 /10"
1303,1,"I'm seen this documentary in its feature-form, in a movie theatre. And... wouah! The pictures are astonishing, one really wonder how by Jove did they manage to film those waves, those animals, those... is that a plant ? a predator ? a creature from the movie Abbyss ? Anyway, it's remarkable. Sure we've seen a lot of such documentary on TV, with weird animals and so on, but none with such a beauty, a precision, a deep emotion. The only downside is the commentary. In French it's narrated by François Perrin, usually good and familiar with beautiful documentaries, but the text is not good at all. Not enough informative of too much, innapropriatly anthropoid..."
1353,0,"I'm a big fan of H. P. Lovecraft's books, and the Mythos background spawned some rather good other stories and stuff like that. And in the last years there came along some boys who did movies about H. P.'s work,  for the bigger part low-budged flicks  and showed them to the public at places like the H. P. Lovecraft Film Festival. Now, like I said, most of them don't have a big budged, but they at least know the heart and ""soul"" of Lovecrafts work and films like ""Cool Air"" or ""The Call of Cthulhu"" - are what I would think - gifts for the fan base and other loonies that like H.P.'s creation.   And then there are people like Ivan Zuccon, who just rip off the name and create a movie which would have been fun to watch if I had directed it myself and filmed with some friends down at the beach. That is what Mr. Zuccon did as it seems...but, while blokes like Aaron Vanek's or Bryan Moore's earlier movies might not have had more budged, they somehow still had more to offer , like a story, real characters and some connection to Lovecraft! Just blabbering out names like ""Nyarlathotep"" or ""Necronomicon"" makes a movie not a Lovecraft-adaption.   Anyway, this flick will not only make fans of the Mythos shudder and hide, it will also not appeal to people who 1. like good movies, 2. laugh about bad movies, 3. like good C-grade splatter movies or 4. watch everything that has Horror written on the DVD-cover. I will not go into the ""plott"" of this waste of time, as it has already been discussed by others here on this page, but like I said, Unknown Beyond is like a movie I would have made up with some geeky friends.. Aside from that it lacks ideas for any storytelling and goes into ridiculous ""moronic-nonsense-but-he-it's-art-stuff"". Self-made flicks of this ""quality"" are fun to watch if you know all the blokes in it and ha-ha, see how XY is coughing out the fake blood we made from old tomato sauce and stuff  but hey, you don't put this in a DVD-casing, declare it an actual movie and want money for it  I give it 2/10 because of the I dunno  effort or something like that"
1382,0,"OK so it's not great either, but only because of how great Laurel and Hardy have been in the past. If this film received a total overhaul, with picture quality enhanced, add new dubbing to the badly dubbed voices and added a nice unobtrusive background music then this film would truly start to take shape. As it is, it does have it's problems. People do slate it for how old the boys look. Quel surprise! they were in their 60's and had led a 'life'. However, to me, they still came across as having bucketfulls of charm, and while this doesn't even come close to tickling the feet of their classics( I gave it a 4), it's worth a watch simply because it's them. To think otherwise would be impostorous!!"
1413,0,"Police officer Michael (Tomas Arana, ""The Church"") has his hands full while investigating a serial killer who's been leaving parts of the bodies of the people that he's been murdering at the house of one recently widowed, Tracy (Joanna Pacula). Mike has to find a way to stop the bodies from piling up, while perhaps finding love in the process.  A feeling of the 'giallo' films of yore pervades this film, even though we know who the killer is from the get-go, and the film contains a few good set-pieces (a scene later in the film set in a school for the blind being particularly memorable), but it doesn't make all that much sense when all is said and done either. All in all, not nearly as good as Bava's earlier ""Macabre"" nor his first two ""Demons"" films, but enjoyable enough if you can forgive the rather outrageous plot twists towards the end of the film. A pity the Image Entertainment DVD lacked extras of any kind, as I would have been interested in some.  My Grade: C-"
1427,1,"While it may not be his most laugh-packed film, MIGHTY LIKE A MOOSE stands as one of Charley Chase's most satisfying farce comedies, twenty minutes of clever sight gags, nicely choreographed physical comedy, and amusing quips (rendered via title card, of course) all based on a wacky and wildly implausible premise. We're told up top that this is ""a story of homely people-- a wife with a face that would stop a clock --and her husband with a face that would start it again."" Soon we meet buck-toothed Charley Moose and his wife Vivien, who has an enormous nose. But there's no point in discussing plausibility when our plot hinges on such a patently unbelievable series of interconnected coincidences: i.e., first, that Charley would have his overbite corrected the very day his wife would have her nose fixed, second, that each spouse would keep their respective cosmetic surgeries secret from the other, and third, that when bumping into each other in public afterward, Charley and Vivien wouldn't recognize each other. Sounds like a bit of a stretch, doesn't it? Multiple stretches is more like it. Clearly, we're in the world of farce here and just have to roll with the silly plot twists, so as long as you can relax and forget about plausibility you're likely to enjoy this short.  MIGHTY LIKE A MOOSE gets off to a leisurely start as the various complications of the story are established, but things pick up once Charley and Vivien have ""met"" and made a date to attend a party together at the home of Charley's dentist. They each rush home excitedly, enter separately and are at first unaware of each other's presence. (Mr. & Mrs. Moose appear to be quite wealthy, incidentally, as they live in a mansion the size of a luxury hotel.) There follows a beautifully timed sequence somewhat reminiscent of Buster Keaton's THE NAVIGATOR in which husband and wife dash about the house without ever quite meeting up face-to-face. And once they arrive at the party the comedy really kicks into high gear as Charley is forced to dance with gawky wallflower Gale Henry. Henry, an estimable player in her own right who starred in many short comedies dating back to 1914, is hilarious as the dance partner who brings great vigor but little grace to her dancing. There's also an elegant cinematic touch during this sequence, when the camera pans down to show us only the shoes of Charley, Gale, Vivien and Vivien's dance partner, yet we're able to follow precisely what's happening between the principles by watching their feet.  Unfortunately for Charley and Vivien the party they're attending is raided, and from there on the complications multiply when they manage to escape the police dragnet and return home. When Charley realizes that his newly-prettified wife was attempting to step out with another man he resolves to each her a lesson . . . while conveniently forgetting, of course, that he was attempting to do the very same thing. The last few minutes of this film offer some of Chase's funniest physical comedy, capped with a good sight gag for the punchline. MIGHTY LIKE A MOOSE leaves the viewer with a warm glow, and surely ranks with the most amusing comedies produced by the prolific, sadly underrated Charley Chase."
1435,0,"Enter the Ninja (1981) was the first of several ""Ninja"" films produced by Cannon starring or co-starring Japanese sensation Sho Kosugi. But the star of the first ""Ninja"" film was legendary tough guy Franco Nero. Sadly not even Mr. Nero or Sho Kosugi couldn't make this film watchable. When you have two bad dudes in an action film and it's neither watchable or fun, somethings amiss. But I digress. Skip this chapter and watch the next films in the series. They're more interesting and a whole lot of fun.  Next is Revenge of the Ninja. Instead of playing the ""evil oriental"" (I use that term tongue in cheek mind you). He's the star! Strange for a western film. Watch that one instead.  Not recommended except for die hard Sho Kosugi fans or Cannon film buffs."
1439,0,"I watched this movie and all I can say is this...I am not a film student, nor am I some artsy intellect who tries to look for a deeper meaning into everything that I don't understand. However, IF I were to do that with this film, my thoughts would be...  Yep! He's on drugs and I can picture it now...he was tripping one night and sat around with his buddies laughing and saying stuff like, hey...wouldn't it be funny if nuns really could fly? Like what if one just fell out of a plane and free fell for a while, bounced to the ground and got up and walked away? *cackles* or if buckwheat gave the pope a bath? oh my god, I'm cracking up just thinking about it! Dude! We gotta make a movie about it! And then he says to his friend as he's laughing...Oh and wouldn't it be hilarious if people loved it and called me a genius for it? So to me, this is what happens when some guy does one too many drugs and writes a script and produces a movie. Should I have been doing LSD to understand what this guy was thinking so I could have had a laugh too? Because I have to tell you, I wasn't laughing. I was yawning and checking the time.  I think everyone who is trying their hardest to find a deeper meaning is hysterical. I had never heard of this director until I came to read the reviews, which I did because I was mad that I lost that last 2 hrs, or how ever long it was, (it felt like 12 hrs of my life) and I can't ever get it back, anyway...I have read that this guy is a heroine addict and he wanted to die for art?? what the heck is that? So my point is sort of proved. This guy is not all there, he's a drug addict, and his movie is evidence of such...So please quit trying to find a deeper meaning to it. If one really wants to understand everything in this movie, go drop some LSD and sit back and relax, then it might actually make sense.  It reminded me of the time I watched Gus Van Sant's Last Days, another movie I was mad about watching. I cannot help but wonder what the ratings would be for that movie, if the same people reviewed it who reviewed this one. It seems like, if the movie's director is totally off his rocker, or if it's a french movie with sex and subtitles, or if it's a cartoon, it is going to get great reviews, hands down, anything else is boring and has already been done. BLAH, bring on the boring please!"
1446,1,"I don't know what it is about the crew from CKY, but everything they produce seems to be genius in its simplicity and stupidity. Haggard is so incredibly dumb and funny that it's almost comedic excellence. Sometimes it makes absolutely no sense, but who cares?  It made me laugh my ass off. A must-have for the CKY/Jackass aficionado!"
1464,0,"The opening was a steal from ""Eight-legged Freaks"", a film that is everything this one isn't. Stilted and pedestrian are the words that apply - along with others that can't be repeated..! Drifter type returns to his home(?)town, meets up with old friends etc.... the usual annoying kid, single mother,local loudmouth and so on..Bad special effects, alien ship, atmospheric disturbances, (hey, didn't the Director see ""Close Encounters""?). Good acting? Good story? Good camera angles? Good cutting? Not here! Do not rent, unless you are sharing the cost and have a lot of beer handy. Do not watch on TV, go and drink a lot of beer instead - you'll enjoy it more!"
1466,1,"Things I like. Steve Zahn as Gus, nails the part, copies Robert Duvalls mannerisms which makes him feel comfortable to Gus fans. (some of the other actors copy their predecessors style in this series as well). Karl Urban, looks grim and tough, but can crack a joke and smile too, which T.L.Jones did in original series. The gear, the guns, the clothing, all accurate, or very close to period accurate. I'll never forgive Costner and Duvall for having a nylon lariat in their chuckwagon in Open Range. The Comanches, they are actually riding bareback, rather than hiding a modern saddle under a Navajo blanket. And they aren't painted as politically correct peace loving pastoralists, but as a proud warrior people. There are some dumb scenes, but it beats the heck out of yet another variation on doing something stupid to not win a million dollars reality game shows."
1468,1,"When you're watching Distant you know you're not watching a French movie, there's little sex and it's mostly elliptical and people don't talk that much here, there are a few lines scattered here and there and a couple of important conversations, just to let you make sense of what's going on. It doesn't look American either, there aren't any car chases or shoot-outs or violence, unless you consider the killing of a mouse an act of blood or the daily tension of getting by a subdued catastrophe. At times, the relatively long-held medium-distance shots may remind you of 'contemplative' Asian cinema, but just reminds you, the director doesn't push things to the radical minimalism of some Taiwanese filmmakers but then again, this is not a Taiwanese movie, it's a Turkish movie. I don't know what that means, I don't even know if that's supposed to mean something.  The movie doesn't have a plot proper and yet, those few lines, those somewhat long-held shots and that often mitigated tension gradually build a sense of something happening, a sense of 'plot', for lack of a better word, that grows on you. By the end of the movie you may get the feeling you're going to miss those two cousins who have many things in common but are worlds apart."
1490,0,"I can't really remember any details of this movie except that the setting looked awfully familiar. Then I realized it was filmed at the Lazy Lizard Hostel in Moab, Utah. That was one of my favorite places to visit when I was younger and wandered around the country. The guy who owns/manages the hostel managed to get himself in the movie. All I remember about the plot of the movie is that it involves jeeps and naked women. It is great to watch just for the scenery (I mean the rock formations)... If you are just looking for soft-core porn, you will probably be better served elsewhere. I don't even know if this movie is available on tape or DVD."
1497,0,"The third film based on Charles Belden's play entitled ""Mystery of the Wax Museum"" (1933) targets generation X-tasy. Twin screenwriters, Chad Hayes and Carey W. Hayes, spend more time developing the main characters than other slasher movies--a promising start. Their condition guarantees an authentic point of view. The role of Paige (Paris Hilton) was not much of a stretch for the world's favorite heiress. She peruses ""In Style,"" stripteases boys, chats on a cell, and frets over an ill-conceived pregnancy. Her regular routine has been altered beyond repair. Hilton reached the peak of her performance--not so hot--during the ""1 Night in Paris"" (2004) parody. While the pimp-my-ride is in motion, she zealously ""looks for lip balm"" in her boyfriend's (Robert Ri'chard) lap. Finally, the ""actress"" atones for using the ""N"" word on the sex tape. Director Jaume Collet-Serra molds his take on the twin thing contrary to the theme of the past. Each exhibited opposite characteristics back then, whereas a pair of either good or bad can come out the womb today. However, the latter does not rule out the former. Childbirth constitutes the luck of the draw. Spectators can hardly consider Vincent (Brian Van Holt) a contemporary Quasimodo. Granted, the recluses share some similarities such as artistry, disfigurement, submissiveness, and murder. Yet, one small variable between the two makes all the difference. Vincent is even uglier on the inside than he is on the out. Collet-Serra's ""House of Wax"" pays homage to actor Vincent Price from the first remake in 1953. The film leaves obvious van Gogh puns to the imagination of the audience. Still, the choice to split the antagonist in two eliminates a vibrant twist at the end. Professor Henry (Vincent Price) Jarrod's unmasking receives runner-up, but the most terrifying one in horror movie history belongs to Lon Chaney in ""Phantom of the Opera"" (1925). As far as the new contender is concerned, the aftermath of separation surgery downplays the effect. A surgeon should know operating on Siamese twins scars them--physically and psychologically. Their father needs to call a couple colleagues--Dr. Phil to consult and Dr. McNamara to nip/tuck. Despite what the trailers said, ""Wax"" is not forever. In fact, you can rid yourself of it by burning it."
1500,0,"""Solomon and Sheba"" was the kind of film that you just had to go and see back in the late 50's when I was a kid: a biblical epic spectacular with well known performers, unusual costumes, lots of extras and battle sequences. So I went to see it; but I remember that back then ""Solomon and Sheba"" didn't impress me at all, which was a strange thing since I had enjoyed a lot ""The Ten Commandments"", ""Quo Vadis"", ""Helen of Troy"" and others. The point is that when you are a kid you disregard things in pictures that adults don't (bad acting, for instance) and you are easier to please with warriors in their armors, battles, sword duels and action, so if your'e not impressed then something is wrong with a product of this genre.   This film, though it has some of such features, is definitely standard and average. Yul Brynner's wooden performance as the Hebrew king doesn't even light when he has voluptuous and half naked Gina Lollobrigida dancing around him provocatively. She is better and renders an acceptable acting. George Sanders doesn't look interested in what he is doing, and Marisa Pavan (Pier Angeli's twin sister) doesn't add at all as a sort of Brynner's conscience.  The final sword duel between Brynner and Sanders is just for the plot and lacks interest and intensity (it had to filmed, that's all).  Not a good farewell for director King Vidor, Solomon and Sheba will probably be remembered as Ty Power's last unfinished picture."
1512,0,"If you're looking for a movie that's fun to watch simply because you can make jokes about the not so great acting, cheesy ""special"" effects, and typical sci-fi plot...then this is the movie for you! Not at the acting was bad, in fact, a few actors were actually fairly decent. The special effects weren't the greatest (to say the least); the animals looked completely computer animated. There was an annoying squawking to cover up the swearing and there was only one song played over and over again throughout the entire movie. Overall, a good movie if you're looking for something completely cheesy and fun to make fun of. Not a good movie to watch if you're looking for something serious."
1530,1,"Three kids are born during a solar eclipse and turn into vile murderous little tykes who're above suspicion by everyone, save for Joyce (Lori Lethin) and her younger brother Timmy. That's the story in a nutshell. The acting in this one is tolerable for the most part. Notable for MTV-J Julie Brown (not the 'Downtown' one) showing some skin, and a very early part (albiet small) for Michael Dudikoff. Not a great film by any stretch of the imagination, but in the 'killer kids' sub-genre it's a bit of a guilty pleasure.  Eye Candy: Julie Brown shows T&A (the only film thus far, to claim that honor); Sylvia Wright gets topless   DVD Extras (R1): 16 minute interview with Producer Max Rosenberg (wherein he insults the director AND Canada, great stuff); Biography of Ed Hunt; and trailers for ""Kiss of the Taratula"", ""Don't open the Door"", & a red-band one for ""Homework"" (which features nudity)   My Grade: B-"
1590,0,"sorry, sorry but sorry. nice, very nice production, very nice actors, also funny. But, this type of the movies with a dog (Rex German, Gery-Jerry American) with a private detectives, with a pretty rich woman???????????????????????? Hello producer, how many movies we have out there with the same plot?????????? What do u have on your minds when you make the scenes like dog having a pupu. Or any king of that dog activities????? Micro chips who can make you rich? Micro chips who wort a fortune? There is three master chips, wow? And the creator of the chips can't make the same chips again? Hello, wake up. can give us something smarter than that? Best, D"
1628,1,"Caddyshack 2 has a dreadful reputation, due only to the fact that it is a sequel to a highly-held classic. People have criticised the film on a lot of grounds, but they all ultimately hark back to the fact that this is not Caddyshack.  I would begin by saying that we should just take Caddyshack out of the equation and consider this film on its own merits, but I think that would be unfair. The movie does have a lot in common with its predecessor. The class-related themes of 'snobs versus slobs' and the desire to fit in to a class above your own are as prevalent here as they were in the first movie. The two things that are truly lacking here are Bill Murray and Rodney Dangerfield, who are replaced with Dan Ackroyd and Jackie Mason respectively.  Now I am not about to try and argue that Ackroyd comes close to Murray in the movie, but Jackie Mason is an admirable successor to Dangerfield. He comes off as a cross between Dangerfield and Arnold Stang, but without biting too heavily on either. I wouldn't say that he is anywhere close to being as funny as Dangerfield is in Caddyshack, but there is a whole lot more point to his character and his dilemma in the film.  Chevy Chase only pops up and handful of times in the movie, which is another common complaint. Maybe these particular naysayers didn't notice that he only popped up a few times in the first movie. For my money, his scenes here are a lot funnier, if somewhat over-directed.  While I'm on the subject, it is really the over-direction of this movie that brings it down. It comes across as far more self-conscious in its attempts to get a laugh. Many of the jokes are laboured and there's far too much of the Gopher, who seems to have taken on a far more anthropomorphic personality and a voice, just in case we didn't grasp the idea that its meant to be funny.  Characters are similarly hammered home, particularly the smarmy yuppy kids. Jackie Mason rarely misses a beat, and is consistently likable and very funny, but we didn't need the tango sequence at all! The director is clearly not of the same school of thought as Harold Ramis. Not to suggest that Caddyshack was subtle, but the jokes here are just a little overcooked, and most of them are unnecessarily embellished with a quirky music cue.  All things considered, this is a fun, goofy movie with something to say about class and identity that very few movies at the time were saying. Don't be put off by the appallingly low rating on IMDb, check it out for yourself."
1633,0,"I picked up this movie because it caught my eye as movie with a Jewish comedy focus - something I had not seen before.   I approached this film with an open mind, and was interested in the way it began. The opening is well put together, and the first half of the film gave me many reasons to laugh, and this is good.  However, the humor soon became repetitive, the plot became confused and strained, and I realized I was no longer enjoying the film. I have tried to avoid saying this, but the movie became rather ""cheap"" - not a bad thing for a comedy if the humor holds up, but it didn't. I confess that I may have missed some of the humour, not being Jewish myself, and having little experience with Jewish culture. However, considering how heavily telegraphed the bulk of the humour was in this film, it's unlikely I missed much.  The idea is a good one, and perhaps if a little more thought was put into it the film would have been watchable all the way through. I wish I could give the movie a higher rating, but strictly speaking it would have been better as a TV series or as a series of skits. There was just not enough worthwhile fresh material for a full-length movie.  One thing to say about the casting - the lead role looked as if it had been designed with Ben Stiller in mind, but I don't think the movie would have been any more worthwhile if he had been in it."
1692,0,"I do not like Himesh Reshamiya. I do not like his singing too. But his songs are a craze in India, especially among commoners. Now when he ventured to become an actor  that was a big joke! What guts he has to reap as much as he can in his prime time. I did never want to see this movie. But one thing changed it. The movie becoming a super-duper hit! After 2 weeks, Aap Ka Saroor has raked box office collection of 14 crores  compared to Apne that has collected 7 crores in the same 2 weeks. If I can sit through Apne and Rajnikant's absurd Sivaji  I should give this movie also a try to understand what stuff this movie has got that made it such a big hit? The story is about the real life singer Himesh Reshamiya (HR) who has gone to Germany for a concert and falls in love with Riya (Hansika Motwani). A German lawyer Ruby (Mallika Sherawat) loves Himesh. Now Himesh is arrested for a murder. The mission of Himesh (in last 40 minutes) after he runs away from jail is to prove himself innocent and find the real murderer.  Let me say that Himesh has nothing in him to become a hero. He tries hard but fails miserably. He is pathetic. I was thinking what could have made the movie click so much? Let me find something positive.  First, the saving grace of the movie is the script till the point Himesh runs away from the jail. (But after that the movie nose dives into unbearable stupid limits) Second, the songs of the movie are good, catchy, crowd puller numbers. Third, Mallika Sherawat  she looks gorgeous and acts well too, as the second lady. I can imagine fans of Mallika coming to see the movie just for her. Fourth, the cinematography of the movie is pleasing  especially the German locales, are a treat to watch for the eye. Fifth, the major portion of the story is a love story between Himesh and Riya  with clichéd dialogues that would probably connect to young crowd. Sixth, the Director Prashant Chadha has done a decent job in covering the pathetic acting skills of Himesh as much as possible with shots that don't need Himesh to act much.  The heroine Hansika Motwani looks like a small budget film heroine. Raj Babbar is wasted in a small role. Overall the movie is a below average.  I was thinking throughout the movie  what if the same movie script was done with Salmaan as the main lead. I think it would have had been a much better affair. May be then I would have given the movie 6 out of 10. But now (Stars 4.5 out of 10)"
1706,1,"Chaplin stars in a dual role as a jewish barber who, with amnesia, is mistaken for the dictator Adenoid Hynkel, (i.e Hitler) A movie made in 1940 when the war was in its dark days and was in no way won by the allies..it was banned in Germany by Hitler and was a risk in a way for Chaplin because if the war was lost, he surely wouldve been sent away to be ""reeducated""  A funny satire with the classic scene of Hitler tossing around a giant balloon of the world..good fun but with a message..a little preachy in the end. This was the last movie with Chaplin's trademark little mustache. on a scale of one to ten..9"
